"Zotu100_P3_A05_107ACON20_S507_N712" "Zotu103_P1_E02_21MMC3_S517_N701" "Zotu106_P3_G07_111ACON24_S502_N702" "Zotu108_P1_H08_70SHCON1_S504_N705" "Zotu10_P3_A07_81ACON3_S507_N701" "Zotu10_P3_E01_83ACON5_S517_N710" "Zotu110_P1_E02_21MMC3_S517_N701" "Zotu110_P3_G06_108ACON21_S506_N701" "Zotu111_P4_C10_106ACON19_S508_N707" "Zotu112_P1_H04_19MMC1_S503_N703" "Zotu114_P1_D07_35TCONS5_S506_N704" "Zotu115_P1_B08_17IZPOC2_S517_N704" "Zotu116_P1_B08_17IZPOC2_S517_N704" "Zotu118_P1_A03_38TCONS8_S503_N702" "Zotu118_P1_H09_37TCONS7_S508_N705" "Zotu11_P3_E03_86ACON8_S517_N711" "Zotu122_P1_E02_21MMC3_S517_N701" "Zotu122_P3_E04_121ACON11_S505_N712" "Zotu123_P2_G01_87ACONS9_S505_N707" "Zotu123_P4_C10_106ACON19_S508_N707" "Zotu124_P2_G02_14SHCN5C2_S517_N707" "Zotu128_P3_E04_121ACON11_S505_N712" "Zotu131_P1_G02_20MMC2_S502_N702" "Zotu133_P1_D05_13SHC4C1_S505_N703" "Zotu134_P3_C06_84ACON6_S504_N701" "Zotu135_P1_H08_70SHCON1_S504_N705" "Zotu141_P1_D05_13SHC4C1_S505_N703" "Zotu147_P1_A03_38TCONS8_S503_N702" "Zotu148_P2_E03_72SHCON3_S505_N708" "Zotu149_P1_B08_17IZPOC2_S517_N704" "Zotu149_P2_C01_18IZTAC3_S503_N707" "Zotu150_P1_F05_15SHC6C3_S506_N703" "Zotu150_P3_E04_121ACON11_S505_N712" "Zotu151_P3_C06_84ACON6_S504_N701" "Zotu154_P1_G02_20MMC2_S502_N702" "Zotu155_P1_E02_21MMC3_S517_N701" "Zotu157_P1_B08_17IZPOC2_S517_N704" "Zotu160_P1_G02_20MMC2_S502_N702" "Zotu161_P3_G02_82ACON4_S506_N711" "Zotu163_P1_E02_21MMC3_S517_N701" "Zotu163_P3_G07_111ACON24_S502_N702" "Zotu164_P1_D05_13SHC4C1_S505_N703" "Zotu164_P1_F05_15SHC6C3_S506_N703" "Zotu16_P1_F11_78SHCON9_S508_N706" "Zotu174_P3_E03_86ACON8_S517_N711" "Zotu17_P2_A01_16IZPOC1_S502_N707" "Zotu185_P4_C10_106ACON19_S508_N707" "Zotu18_P3_E03_86ACON8_S517_N711" "Zotu194_P2_E03_72SHCON3_S505_N708" "Zotu206_P4_C10_106ACON19_S508_N707" "Zotu208_P3_A05_107ACON20_S507_N712" "Zotu209_P3_A05_107ACON20_S507_N712" "Zotu209_P3_E03_86ACON8_S517_N711" "Zotu212_P1_D05_13SHC4C1_S505_N703" "Zotu213_P4_C10_106ACON19_S508_N707" "Zotu216_P4_C10_106ACON19_S508_N707" "Zotu217_P4_C10_106ACON19_S508_N707" "Zotu22_P4_E03_122ACON12_S504_N704" "Zotu230_P1_D05_13SHC4C1_S505_N703" "Zotu243_P3_A01_85ACON7_S507_N710" "Zotu267_P3_G02_82ACON4_S506_N711" "Zotu30_P1_F05_15SHC6C3_S506_N703" "Zotu32_P3_E03_86ACON8_S517_N711" "Zotu38_P3_C05_110ACON23_S508_N712" "Zotu44_P1_H01_75SHCON6_S506_N701" "Zotu44_P3_G08_127ACON17_S506_N702" "Zotu54_P1_B08_17IZPOC2_S517_N704" "Zotu55_P2_E02_77SHCON8_S508_N707" "Zotu56_P3_C03_125ACON15_S508_N711" "Zotu58_P1_B08_17IZPOC2_S517_N704" "Zotu59_P1_D05_13SHC4C1_S505_N703" "Zotu65_P3_E03_86ACON8_S517_N711" "Zotu66_P3_A02_39TCONSER9_S503_N711" "Zotu72_P2_E02_77SHCON8_S508_N707" "Zotu78_P1_D05_13SHC4C1_S505_N703" "Zotu78_P2_C01_18IZTAC3_S503_N707" "Zotu89_P2_C01_18IZTAC3_S503_N707" "Zotu90_P3_E03_86ACON8_S517_N711" "Zotu91_P2_E01_31TCONS1_S504_N707" "Zotu9_P3_C04_79ACON1_S504_N712"
"CON_M_IZP_IZA1_16IZPOC1" 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_M_IZP_IZA2_17IZPOC2" 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"CON_M_IZP_IZA3_18IZTAC3" 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0
"CON_M_MMO_MML1_19MMC1" 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_M_MMO_MML2_20MMC2" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_M_MMO_MML3_21MMC3" 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_M_NTL_NSH1_13SHC4C1" 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"CON_M_NTL_NSH2_14SHC5C2" 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CON_M_NTL_NSH3_15SHC6C3" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CON_NTO_AAB_106ACON19" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_107ACON20" 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
