"Zotu100_P1_H01_75SHCON6_S506_N701" "Zotu102_P1_B06_71SHCON2_S508_N703" "Zotu102_P1_B08_17IZPOC2_S517_N704" "Zotu102_P2_G01_87ACONS9_S505_N707" "Zotu102_P3_C06_84ACON6_S504_N701" "Zotu103_P1_B06_71SHCON2_S508_N703" "Zotu103_P1_B08_17IZPOC2_S517_N704" "Zotu104_P2_E02_77SHCON8_S508_N707" "Zotu106_P1_D05_13SHC4C1_S505_N703" "Zotu106_P1_H01_75SHCON6_S506_N701" "Zotu109_P1_H01_75SHCON6_S506_N701" "Zotu110_P2_G01_87ACONS9_S505_N707" "Zotu111_P1_B08_17IZPOC2_S517_N704" "Zotu117_P1_E02_21MMC3_S517_N701" "Zotu118_P1_F05_15SHC6C3_S506_N703" "Zotu11_P1_A01_32TCONS2_S502_N701" "Zotu11_P1_D07_35TCONS5_S506_N704" "Zotu122_P1_A01_32TCONS2_S502_N701" "Zotu12_P1_D07_35TCONS5_S506_N704" "Zotu138_P1_B06_71SHCON2_S508_N703" "Zotu13_P1_D06_74SHCON5_S517_N703" "Zotu140_P1_B06_71SHCON2_S508_N703" "Zotu141_P3_A05_107ACON20_S507_N712" "Zotu143_P1_H06_36TCONS6_S503_N704" "Zotu146_P1_D05_13SHC4C1_S505_N703" "Zotu146_P1_D06_74SHCON5_S517_N703" "Zotu14_P1_B08_17IZPOC2_S517_N704" "Zotu182_P1_D05_13SHC4C1_S505_N703" "Zotu217_P1_D05_13SHC4C1_S505_N703" "Zotu21_P3_C05_110ACON23_S508_N712" "Zotu230_P3_A05_107ACON20_S507_N712" "Zotu24_P1_A01_32TCONS2_S502_N701" "Zotu29_P3_C05_110ACON23_S508_N712" "Zotu41_P1_A01_32TCONS2_S502_N701" "Zotu48_P1_B06_71SHCON2_S508_N703" "Zotu51_P1_D08_34TCONS4_S502_N705" "Zotu53_P1_H08_70SHCON1_S504_N705" "Zotu59_P1_H01_75SHCON6_S506_N701" "Zotu60_P1_D06_74SHCON5_S517_N703" "Zotu61_P1_A03_38TCONS8_S503_N702" "Zotu82_P1_D06_74SHCON5_S517_N703" "Zotu83_P4_C09_73SHCON4_S504_N707"
"CON_NTO_SJH_E_70SHCON1" 1 0 0 0 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0
"CON_NTO_SJH_E_71SHCON2" 1 1 0 0 0 1 1 0 0 1 1 1 1 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0
"CON_NTO_SJH_E_72SHCON3" 1 0 0 0 0 1 1 0 0 1 1 1 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0
"CON_NTO_SJH_E_73SHCON4" 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1
"CON_NTO_SJH_E_74SHCON5" 1 0 1 1 0 1 1 1 1 1 1 1 0 0 0 1 0 1 1 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0
"CON_NTO_SJH_E_75SHCON6" 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 1 0 1 1 0
"CON_NTO_SJH_E_76SHCON7" 1 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"CON_NTO_SJH_E_77SHCON8" 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"CON_NTO_SJH_E_78SHCON9" 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"CON_NTO_TLC_E_31TCONS1" 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0
