"sample_names_Site0.03" "Conservation" "Mountain1Site" "Mountain1" "Site" "ID" "sample_richness_Site0.03"
"1" "CON_NTO_AAB_W_106ACON19" "CON" "NTO_AAB" "NTO" "AAB" "W" "22"
"2" "CON_NTO_AAB_W_107ACON20" "CON" "NTO_AAB" "NTO" "AAB" "W" "27"
"3" "CON_NTO_AAB_W_108ACON21" "CON" "NTO_AAB" "NTO" "AAB" "W" "25"
"4" "CON_NTO_AAB_W_109ACON22" "CON" "NTO_AAB" "NTO" "AAB" "W" "29"
"5" "CON_NTO_AAB_W_110ACON23" "CON" "NTO_AAB" "NTO" "AAB" "W" "28"
"6" "CON_NTO_AAB_W_111ACON24" "CON" "NTO_AAB" "NTO" "AAB" "W" "27"
"7" "CON_NTO_AAB_W_120ACON10" "CON" "NTO_AAB" "NTO" "AAB" "W" "16"
"8" "CON_NTO_AAB_W_121ACON11" "CON" "NTO_AAB" "NTO" "AAB" "W" "15"
"9" "CON_NTO_AAB_W_122ACON12" "CON" "NTO_AAB" "NTO" "AAB" "W" "10"
"10" "CON_NTO_AAB_W_123ACON13" "CON" "NTO_AAB" "NTO" "AAB" "W" "12"
"11" "CON_NTO_AAB_W_124ACON14" "CON" "NTO_AAB" "NTO" "AAB" "W" "12"
"12" "CON_NTO_AAB_W_125ACON15" "CON" "NTO_AAB" "NTO" "AAB" "W" "13"
"13" "CON_NTO_AAB_W_126ACON16" "CON" "NTO_AAB" "NTO" "AAB" "W" "25"
"14" "CON_NTO_AAB_W_127ACON17" "CON" "NTO_AAB" "NTO" "AAB" "W" "18"
"15" "CON_NTO_AAB_W_128ACON18" "CON" "NTO_AAB" "NTO" "AAB" "W" "17"
"16" "CON_NTO_ASB_W_79ACON1" "CON" "NTO_ASB" "NTO" "ASB" "W" "27"
"17" "CON_NTO_ASB_W_80ACON2" "CON" "NTO_ASB" "NTO" "ASB" "W" "28"
"18" "CON_NTO_ASB_W_81ACON3" "CON" "NTO_ASB" "NTO" "ASB" "W" "23"
"19" "CON_NTO_ASB_W_82ACON4" "CON" "NTO_ASB" "NTO" "ASB" "W" "27"
"20" "CON_NTO_ASB_W_83ACON5" "CON" "NTO_ASB" "NTO" "ASB" "W" "25"
"21" "CON_NTO_ASB_W_84ACON6" "CON" "NTO_ASB" "NTO" "ASB" "W" "28"
"22" "CON_NTO_ASB_W_85ACON7" "CON" "NTO_ASB" "NTO" "ASB" "W" "26"
"23" "CON_NTO_ASB_W_86ACON8" "CON" "NTO_ASB" "NTO" "ASB" "W" "24"
"24" "CON_NTO_ASB_W_87ACON9" "CON" "NTO_ASB" "NTO" "ASB" "W" "20"
"25" "CON_NTO_SJH_E_70SHCON1" "CON" "NTO_SJH" "NTO" "SJH" "E" "18"
"26" "CON_NTO_SJH_E_71SHCON2" "CON" "NTO_SJH" "NTO" "SJH" "E" "20"
"27" "CON_NTO_SJH_E_72SHCON3" "CON" "NTO_SJH" "NTO" "SJH" "E" "28"
"28" "CON_NTO_SJH_E_73SHCON4" "CON" "NTO_SJH" "NTO" "SJH" "E" "25"
"29" "CON_NTO_SJH_E_74SHCON5" "CON" "NTO_SJH" "NTO" "SJH" "E" "21"
"30" "CON_NTO_SJH_E_75SHCON6" "CON" "NTO_SJH" "NTO" "SJH" "E" "20"
"31" "CON_NTO_SJH_E_76SHCON7" "CON" "NTO_SJH" "NTO" "SJH" "E" "16"
"32" "CON_NTO_SJH_E_77SHCON8" "CON" "NTO_SJH" "NTO" "SJH" "E" "26"
"33" "CON_NTO_SJH_E_78SHCON9" "CON" "NTO_SJH" "NTO" "SJH" "E" "25"
"34" "CON_NTO_TLC_E_31TCONS1" "CON" "NTO_TLC" "NTO" "TLC" "E" "19"
"35" "CON_NTO_TLC_E_32TCONS2" "CON" "NTO_TLC" "NTO" "TLC" "E" "19"
"36" "CON_NTO_TLC_E_33TCONS3" "CON" "NTO_TLC" "NTO" "TLC" "E" "23"
"37" "CON_NTO_TLC_E_34TCONS4" "CON" "NTO_TLC" "NTO" "TLC" "E" "20"
"38" "CON_NTO_TLC_E_35TCONS5" "CON" "NTO_TLC" "NTO" "TLC" "E" "20"
"39" "CON_NTO_TLC_E_36TCONS6" "CON" "NTO_TLC" "NTO" "TLC" "E" "15"
"40" "CON_NTO_TLC_E_37TCONS7" "CON" "NTO_TLC" "NTO" "TLC" "E" "17"
"41" "CON_NTO_TLC_E_38TCONS8" "CON" "NTO_TLC" "NTO" "TLC" "E" "20"
"42" "CON_NTO_TLC_E_39TCONS9" "CON" "NTO_TLC" "NTO" "TLC" "E" "24"
